Date,Voucher No.,Particulars,Type,Amount,Status
31-05-2024,RCPT-2012,Sunrise Exports,Receipt,8250,Unpaid
31-05-2024,INV-1025,Omega Ltd,Sales,41000,Paid
01-06-2024,EXP-5014,Courier Charges,Expense,11400,Paid
01-06-2024,EXP-5015,Office Supplies,Expense,11550,Paid
02-06-2024,INV-1026,Sunrise Exports,Sales,17750,Unpaid
02-06-2024,RCPT-2013,XYZ Traders,Receipt,10250,Unpaid
03-06-2024,RCPT-2014,Omega Ltd,Receipt,18250,Paid
03-06-2024,EXP-5016,Marketing Agency,Expense,9300,Paid
04-06-2024,INV-1027,LMN Traders,Sales,23000,Paid
04-06-2024,EXP-5017,Office Supplies,Expense,22400,Unpaid
05-06-2024,EXP-5018,Travel Expense,Expense,7200,Paid
05-06-2024,RCPT-2015,LMN Traders,Receipt,12750,Paid
06-06-2024,INV-1028,Delta Technologies,Sales,17500,Paid
06-06-2024,EXP-5019,Software Subscriptions,Expense,5250,Paid
07-06-2024,INV-1029,XYZ Traders,Sales,40250,Paid
07-06-2024,EXP-5020,Internet Bill,Expense,24500,Paid
08-06-2024,EXP-5021,Travel Expense,Expense,7600,Paid
08-06-2024,EXP-5022,Internet Bill,Expense,13200,Paid
09-06-2024,EXP-5023,Office Rent,Expense,22150,Paid
09-06-2024,EXP-5024,Internet Bill,Expense,24300,Paid
10-06-2024,EXP-5025,Internet Bill,Expense,17850,Unpaid
10-06-2024,INV-1030,XYZ Traders,Sales,48750,Paid
11-06-2024,INV-1031,Sunrise Exports,Sales,45750,Paid
11-06-2024,RCPT-2016,XYZ Traders,Receipt,17750,Paid
12-06-2024,INV-1032,LMN Traders,Sales,48500,Paid
12-06-2024,RCPT-2017,Global Corp,Receipt,11000,Paid
13-06-2024,EXP-5026,Electricity Bill,Expense,1150,Paid
13-06-2024,RCPT-2018,ABC Enterprises,Receipt,29500,Paid
14-06-2024,EXP-5027,Marketing Agency,Expense,17150,Paid
14-06-2024,EXP-5028,Electricity Bill,Expense,2800,Paid
15-06-2024,RCPT-2019,LMN Traders,Receipt,7500,Unpaid
15-06-2024,EXP-5029,Software Subscriptions,Expense,18300,Paid
16-06-2024,RCPT-2020,PQR Solutions,Receipt,27250,Unpaid
16-06-2024,RCPT-2021,Global Corp,Receipt,20000,Unpaid
17-06-2024,RCPT-2022,Global Corp,Receipt,26750,Unpaid
17-06-2024,RCPT-2023,LMN Traders,Receipt,16250,Paid
18-06-2024,INV-1033,Sunrise Exports,Sales,12250,Paid
18-06-2024,INV-1034,XYZ Traders,Sales,56750,Paid
19-06-2024,RCPT-2024,LMN Traders,Receipt,20750,Paid
19-06-2024,INV-1035,Delta Technologies,Sales,28000,Unpaid
20-06-2024,RCPT-2025,Omega Ltd,Receipt,5750,Paid
20-06-2024,INV-1036,Global Corp,Sales,60000,Paid
21-06-2024,EXP-5030,Office Rent,Expense,14900,Paid
21-06-2024,EXP-5031,Software Subscriptions,Expense,4150,Paid
22-06-2024,EXP-5032,Electricity Bill,Expense,4500,Paid
22-06-2024,INV-1037,PQR Solutions,Sales,59750,Unpaid
23-06-2024,RCPT-2026,Delta Technologies,Receipt,19500,Paid
23-06-2024,RCPT-2027,Delta Technologies,Receipt,20750,Paid
24-06-2024,RCPT-2028,LMN Traders,Receipt,23250,Unpaid
24-06-2024,INV-1038,Global Corp,Sales,50000,Paid
25-06-2024,RCPT-2029,ABC Enterprises,Receipt,6500,Unpaid
25-06-2024,INV-1039,Delta Technologies,Sales,33000,Unpaid
